Date,Price
2024-01-02,150.25
2024-01-03,152.80
2024-01-04,151.30
2024-01-05,149.90
2024-01-08,148.50
2024-01-09,147.20
2024-01-10,149.80
2024-01-11,151.50
2024-01-12,153.20
2024-01-15,155.60
2024-01-16,154.90
2024-01-17,156.30
2024-01-18,158.70
2024-01-19,157.40
2024-01-22,159.20
2024-01-23,161.50
2024-01-24,160.80
2024-01-25,158.30
2024-01-26,156.90
2024-01-29,155.40
2024-01-30,157.80
2024-01-31,159.90
2024-02-01,162.30
2024-02-02,164.70
2024-02-05,163.20
2024-02-06,161.80
2024-02-07,160.40
2024-02-08,162.90
2024-02-09,165.50
2024-02-12,167.80
2024-02-13,166.30
2024-02-14,168.90
2024-02-15,171.20
2024-02-16,169.50
2024-02-20,167.80
2024-02-21,165.30
2024-02-22,163.90
2024-02-23,166.40
2024-02-26,168.70
2024-02-27,170.90
2024-02-28,173.50
2024-02-29,175.80
2024-03-01,174.20
2024-03-04,172.60
2024-03-05,170.90
2024-03-06,173.30
2024-03-07,175.60
2024-03-08,178.20
2024-03-11,180.50
2024-03-12,179.10
2024-03-13,181.40
2024-03-14,183.80
2024-03-15,182.30
2024-03-18,184.60
2024-03-19,186.90
2024-03-20,185.50
2024-03-21,183.20
2024-03-22,181.70
2024-03-25,184.10
2024-03-26,186.40
